Julián Álvarez	Julián_Álvarez
Juninho	Juninho
Jupp Heynckes	Jupp_Heynckes
Just Fontaine	Just_Fontaine
Ján Pivarník	Ján_Pivarník
János Farkas	János_Farkas
János Göröcs	János_Göröcs
Józef Młynarczyk	Józef_Młynarczyk
József Bozsik	József_Bozsik
Júlio Botelho	Júlio_Botelho
Júlio César	Júlio_César
Jürgen Croy	Jürgen_Croy
Jürgen Grabowski	Jürgen_Grabowski
Jürgen Klinsmann	Jürgen_Klinsmann
Jürgen Kohler	Jürgen_Kohler
Jürgen Sparwasser	Jürgen_Sparwasser
Kaká	Kaká
Kalidou Koulibaly	Kalidou_Koulibaly
Karel Poborský	Karel_Poborský
Karim Benzema	Karim_Benzema
Karl Koller	Karl_Koller
Karl Stotz	Karl_Stotz
Karl-Heinz Riedle	Karl-Heinz_Riedle
Karl-Heinz Rummenigge	Karl-Heinz_Rummenigge
Karl-Heinz Schnellinger	Karl-Heinz_Schnellinger
Karlheinz Förster	Karlheinz_Förster
Kazimierz Deyna	Kazimierz_Deyna
Kees Kist	Kees_Kist
Kees Rijvers	Kees_Rijvers
Ken Jones	Ken_Jones
Kennet Andersson	Kennet_Andersson
Kenny Dalglish	Kenny_Dalglish
Kevin De Bruyne	Kevin_De_Bruyne
Kevin Keegan	Kevin_Keegan
Khvicha Kvaratskhelia	Khvicha_Kvaratskhelia
Kim Min-jae	Kim_Min-jae
Klaus Allofs	Klaus_Allofs
Klaus Fischer	Klaus_Fischer
Klaus Urbanczyk	Klaus_Urbanczyk
Koke	Koke
Kolo Touré	Kolo_Touré
Krasimir Balakov	Krasimir_Balakov
Kubilay Türkyilmaz	Kubilay_Türkyilmaz
Kurt Hamrin	Kurt_Hamrin
Kylian Mbappé	Kylian_Mbappé
Károly Sándor	Károly_Sándor
Köbi Kuhn	Köbi_Kuhn
Ladislav Novák	Ladislav_Novák
Ladislav Vízek	Ladislav_Vízek
Lajos Détári	Lajos_Détári
Lajos Szűcs	Lajos_Szűcs
Lajos Tichy	Lajos_Tichy
Lamine Yamal	Lamine_Yamal
Laurent Blanc	Laurent_Blanc
Lautaro Martínez	Lautaro_Martínez
Lennart Skoglund	Lennart_Skoglund
Leonardo Bonucci	Leonardo_Bonucci
Leonid Buryak	Leonid_Buryak
Lev Yashin	Lev_Yashin
Liam Brady	Liam_Brady
Lilian Thuram	Lilian_Thuram
Lionel Messi	Lionel_Messi
Lothar Matthäus	Lothar_Matthäus
Louis Pilot	Louis_Pilot
Luca Toni	Luca_Toni
Lucien Muller	Lucien_Muller
